date,kW
2018/8/15,362.538
2018/8/16,365.157
2018/8/17,368.792
2018/8/18,337.459
2018/8/19,314.262
2018/8/20,355.196
2018/8/21,366.844
2018/8/22,368.883
2018/8/23,363.41
2018/8/24,331.715
2018/8/25,318.785
2018/8/26,303.468
2018/8/27,339.164
2018/8/28,340.574
2018/8/29,341.267
2018/8/30,339.521
2018/8/31,340.098
2018/9/1,323.766
2018/9/2,311.172
2018/9/3,356.349
2018/9/4,375.154
2018/9/5,380.514
2018/9/6,377.006
2018/9/7,372.136
2018/9/8,334.112
2018/9/9,302.999
2018/9/10,335.9
2018/9/11,356.845
2018/9/12,366.046
2018/9/13,370.062
2018/9/14,371.851
2018/9/15,335.877
2018/9/16,318.079
2018/9/17,368.839
2018/9/18,381.095
2018/9/19,379.265
2018/9/20,378.609
2018/9/21,376.558
2018/9/22,342.703
2018/9/23,320.887
2018/9/24,309.14
2018/9/25,347.48
2018/9/26,348.654
2018/9/27,347.09
2018/9/28,341.958
2018/9/29,303.753
2018/9/30,283.926
2018/10/1,351.846
2018/10/2,359.01
2018/10/3,356.281
2018/10/4,351.454
2018/10/5,353.136
2018/10/6,329.47
2018/10/7,310.399
2018/10/8,354.458
2018/10/9,365.03
2018/10/10,333.921
2018/10/11,350.095
2018/10/12,344.462
2018/10/13,315.851
2018/10/14,304.174
2018/10/15,351.048
2018/10/16,363.656
2018/10/17,354.408
2018/10/18,352.926
2018/10/19,350.484
2018/10/20,319.19
2018/10/21,301.962
2018/10/22,346.347
2018/10/23,357.445
2018/10/24,357.468
2018/10/25,360.218
2018/10/26,358.892
2018/10/27,314.868
2018/10/28,288.489
2018/10/29,325.975
2018/10/30,339.912
2018/10/31,341.147
2018/11/1,338.427
2018/11/2,341.673
2018/11/3,318.748
2018/11/4,302.451
2018/11/5,345.595
2018/11/6,360.612
2018/11/7,363.293
2018/11/8,366.131
2018/11/9,358.827
2018/11/10,325.954
2018/11/11,306.277
2018/11/12,346.089
2018/11/13,351.067
2018/11/14,348.102
2018/11/15,352.424
2018/11/16,354.826
2018/11/17,323.609
2018/11/18,306.913
2018/11/19,340.579
2018/11/20,348.496
2018/11/21,353.98
2018/11/22,343.644
2018/11/23,337.844
2018/11/24,301.231
2018/11/25,292.251
2018/11/26,330.964
2018/11/27,339.072
2018/11/28,339.211
2018/11/29,336.713
2018/11/30,337.962
2018/12/1,312.456
2018/12/2,295.658
2018/12/3,336.661
2018/12/4,350.305
2018/12/5,350.37
2018/12/6,355.156
2018/12/7,342.55
2018/12/8,308.049
2018/12/9,289.51
2018/12/10,331.126
2018/12/11,342.354
2018/12/12,335.394
2018/12/13,336.03
2018/12/14,337.91
2018/12/15,309.932
2018/12/16,293.571
2018/12/17,323.984
2018/12/18,333.25
2018/12/19,336.053
2018/12/20,336.419
2018/12/21,339.254
2018/12/22,330.963
2018/12/23,297.123
2018/12/24,325.754
2018/12/25,340.321
2018/12/26,339.702
2018/12/27,332.31
2018/12/28,322.74
2018/12/29,294.146
2018/12/30,280.023
2018/12/31,277.72
2019/1/1,279.87
2019/1/2,323.08
2019/1/3,336.597
2019/1/4,339.02
2019/1/5,315.825
2019/1/6,295.08
2019/1/7,330.919
2019/1/8,340.713
2019/1/9,339.42
2019/1/10,345.741
2019/1/11,345.312
2019/1/12,316.377
2019/1/13,295.069
2019/1/14,330.529
2019/1/15,341.979
2019/1/16,338.771
2019/1/17,337.237
2019/1/18,333.578
2019/1/19,323.444
2019/1/20,293.809
2019/1/21,324.539
2019/1/22,334.246
2019/1/23,333.761
2019/1/24,334.577
2019/1/25,332.047
2019/1/26,307.745
2019/1/27,291.033
2019/1/28,322.911
2019/1/29,331.844
2019/1/30,331.523
2019/1/31,326.577
2019/2/1,301.346
2019/2/2,278.967
2019/2/3,267.929
2019/2/4,246.263
2019/2/5,235.887
2019/2/6,237.257
2019/2/7,243.67
2019/2/8,253.768
2019/2/9,262.905
2019/2/10,268.156
2019/2/11,308.329
2019/2/12,327.839
2019/2/13,333.045
2019/2/14,335.846
2019/2/15,337.226
2019/2/16,311.235
2019/2/17,289.13
2019/2/18,330.202
2019/2/19,342.868
2019/2/20,346.477
2019/2/21,346.271
2019/2/22,340.97
2019/2/23,324.355
2019/2/24,294.814
2019/2/25,326.311
2019/2/26,336.45
2019/2/27,336.677
2019/2/28,310.838
2019/3/1,299.202
2019/3/2,296.127
2019/3/3,288.39
2019/3/4,322.631
2019/3/5,336.545
2019/3/6,337.025
2019/3/7,336.383
2019/3/8,335.859
2019/3/9,314.352
2019/3/10,295.376
2019/3/11,326.54
2019/3/12,334.596
2019/3/13,337.439
2019/3/14,338.919
2019/3/15,335.598
2019/3/16,309.487
2019/3/17,291.782
2019/3/18,331.873
2019/3/19,345.332
2019/3/20,351.897
2019/3/21,358.451
2019/3/22,352.322
2019/3/23,312.816
2019/3/24,294.599
2019/3/25,333.343
2019/3/26,342.917
2019/3/27,348.038
2019/3/28,356.775
2019/3/29,354.27
2019/3/30,317.793
2019/3/31,296.502
2019/4/1,322.237
2019/4/2,332.233
2019/4/3,334.523
2019/4/4,308.423
2019/4/5,289.731
2019/4/6,291.974
2019/4/7,292.531
2019/4/8,343.332
2019/4/9,361.969
2019/4/10,363.597
2019/4/11,353.842
2019/4/12,341.524
2019/4/13,318.247
2019/4/14,302.953
2019/4/15,331.727
2019/4/16,339.368
2019/4/17,343.38
2019/4/18,350.574
2019/4/19,351.817
2019/4/20,322.525
2019/4/21,308.722
2019/4/22,358.61
2019/4/23,375.742
2019/4/24,380.015
2019/4/25,380.781
2019/4/26,376.868
2019/4/27,336.58
2019/4/28,317.806
2019/4/29,367.385
2019/4/30,378.092
2019/5/1,324.099
2019/5/2,332.184
2019/5/3,329.559
2019/5/4,305.945
2019/5/5,293.362
2019/5/6,327.298
2019/5/7,330.933
2019/5/8,335.394
2019/5/9,339.614
2019/5/10,341.478
2019/5/11,317.072
2019/5/12,306.971
2019/5/13,358.075
2019/5/14,374.205
2019/5/15,377.077
2019/5/16,383.442
2019/5/17,377.138
2019/5/18,353.717
2019/5/19,337.522
2019/5/20,361.999
2019/5/21,348.55
2019/5/22,349.088
2019/5/23,350.178
2019/5/24,358.174
2019/5/25,333.172
2019/5/26,320.712
2019/5/27,367.428
2019/5/28,369.604
2019/5/29,352.744
2019/5/30,364.057
2019/5/31,374.886
2019/6/1,321.919
2019/6/2,309.668
2019/6/3,348.832
2019/6/4,350.46
2019/6/5,358.025
2019/6/6,367.088
2019/6/7,334.604
2019/6/8,323.667
2019/6/9,317.096
